City,State,Lat,Lng
Mexico City,Ciudad de México,19.4333,-99.1333
Guadalajara,Jalisco,20.6767,-103.3475
Monterrey,Nuevo León,25.6667,-100.3
Tijuana,Baja California,32.525,-117.0333
Ecatepec,México,19.6097,-99.06
Leon de los Aldama,Guanajuato,21.1167,-101.6833
Puebla,Puebla,19.0333,-98.1833
Zapopan,Jalisco,20.7167,-103.4
Juarez,Chihuahua,31.745,-106.485
Mexicali,Baja California,32.6633,-115.4678
Nezahualcoyotl,México,19.4081,-99.0186
Ciudad Nezahualcoyotl,México,19.4006,-99.0148
Morelia,Michoacán,19.7683,-101.1894
Aguascalientes,Aguascalientes,21.876,-102.296
Naucalpan de Juarez,México,19.4753,-99.2378
Merida,Yucatán,20.97,-89.62
Cancun,Quintana Roo,21.1606,-86.8475
Chihuahua,Chihuahua,28.6369,-106.0769
Saltillo,Coahuila,25.4231,-100.9919
El Dorado,Sinaloa,24.808,-107.397
Hermosillo,Sonora,29.0989,-110.9542
Culiacan,Sinaloa,24.8069,-107.3939
Queretaro,Querétaro,20.5875,-100.3928
San Luis Potosi,San Luis Potosí,22.1511,-100.9761
Guadalupe,Nuevo León,25.6775,-100.2597
Acapulco de Juarez,Guerrero,16.8636,-99.8825
Tlaquepaque,Jalisco,20.6167,-103.3167
Durango,Durango,24.025,-104.6675
Tlalnepantla,México,19.5367,-99.1947
Chimalhuacan,México,19.4167,-98.9
Irapuato,Guanajuato,20.6667,-101.35
Reynosa,Tamaulipas,26.0922,-98.2778
Tuxtla,Chiapas,16.7528,-93.1167
Tonala,Jalisco,20.6167,-103.2333
Cuautitlan Izcalli,México,19.65,-99.25
Ixtapaluca,México,19.3186,-98.8822
Heroica Matamoros,Tamaulipas,25.8797,-97.5042
Ciudad Apodaca,Nuevo León,25.7817,-100.1886
Tultitlan de Mariano Escobedo,México,19.645,-99.1694
Mazatlan,Sinaloa,23.2167,-106.4167
Ciudad Lopez Mateos,México,19.55,-99.2833
Ensenada,Baja California,31.8578,-116.6058
San Nicolas de los Garza,Nuevo León,25.75,-100.2833
Veracruz,Veracruz,19.1903,-96.1533
Xalapa,Veracruz,19.54,-96.9275
Nuevo Laredo,Tamaulipas,27.4861,-99.5069
Celaya,Guanajuato,20.5222,-100.8122
Nicolas Romero,México,19.5833,-99.3667
Tecamac,México,19.7131,-98.9683
Minatitlan,Veracruz,17.9833,-94.55
Villahermosa,Tabasco,17.9892,-92.9281
Gomez Palacio,Durango,25.5611,-103.4983
Cuernavaca,Morelos,18.9186,-99.2342
Uruapan,Michoacán,19.4208,-102.0628
Tepic,Nayarit,21.5083,-104.8931
Soledad de Graciano Sanchez,San Luis Potosí,22.1833,-100.9333
Ciudad Obregon,Sonora,27.4939,-109.9389
Salamanca,Guanajuato,20.5703,-101.1972
Guasavito,Sinaloa,25.5744,-108.4706
Tehuacan,Puebla,18.4617,-97.3928
Coatzacoalcos,Veracruz,18.15,-94.4333
Chalco,México,19.2647,-98.8975
Ciudad Benito Juarez,Nuevo León,25.65,-100.0833
Ciudad Santa Catarina,Nuevo León,25.6833,-100.45
Ciudad Victoria,Tamaulipas,23.7389,-99.1431
Playa del Carmen,Quintana Roo,20.6281,-87.0755
