Occurred,City,State,Country,Shape,Summary,Link
2024-05-15 02:20:00,Mazatlan,Sinaloa,Mexico,Light,Lights dropping from very high altitude and then heading south. Different locations and at differing interludes.,https://nuforc.org/sighting/?id=181515
2024-05-12 20:58:00,Leon de los Aldama,Guanajuato,Mexico,Cylinder,"We observed a very large (500-1500 ft long), dark, unlit, flying object flying below 10,000 ft down the Chico valley.",https://nuforc.org/sighting/?id=181495
2024-05-09 21:38:00,San Jose del Cabo,Baja California Sur,Mexico,Triangle,"We saw a triangular/round bright light in the sky moving quickly, it then completely disappeared even though the sky had no clouds.",https://nuforc.org/sighting/?id=181446
2024-02-26 19:40:00,Xico,Veracruz,Mexico,Orb,I was walking down the street coming to my home when i stoped to see the stars when I saw an Orange orb,https://nuforc.org/sighting/?id=180712
2023-12-28 20:49:00,Acapulco de Juarez,Guerrero,Mexico,Circle,Maybe drone or maybe ufo,https://nuforc.org/sighting/?id=179884
2023-12-03 20:25:00,San Cristobal,Chiapas,Mexico,Diamond,Object floated slowly over a radio tower that was decorated with X-Mas lights. It did not blinlk. Too big to be a.drone.,https://nuforc.org/sighting/?id=179573
2023-11-28 00:30:00,Tenancingo,México,Mexico,Diamond,Went to room to sit on balcony and spotted bright light moving very fast,https://nuforc.org/sighting/?id=180078
2023-11-01 21:30:00,Tlaxcala,Tlaxcala,Mexico,Orb,Orb moving at high speed and performing unconventional maneuvers in an area that is not an air traffic zone,https://nuforc.org/sighting/?id=181099
2023-10-12 20:55:00,Cancun,Quintana Roo,Mexico,Orb,We saw Orb during our vacation in Cancun from our hotel lobby.,https://nuforc.org/sighting/?id=178993
2023-10-12 20:55:00,Cancun,Quintana Roo,Mexico,Orb,Saw an orb from the balcony of Cancun hotel,https://nuforc.org/sighting/?id=179903
2023-09-17 21:51:00,Monterrey,Nuevo León,Mexico,Orb,"4 lights on the sky moving, faster and lower than a plane. Static biggest light it's a radio antena on a mountain",https://nuforc.org/sighting/?id=179119
2023-08-25 11:25:00,El Pueblito,Querétaro,Mexico,Formation,"A series of light orbits (6 flashes) crossed the night sky, from one horizon to the other.",https://nuforc.org/sighting/?id=179128
2023-06-04 18:30:00,Playas de Rosarito,Baja California,Mexico,Orb,"A photo taken just before sunset revealed glowing green orb, illuminating cloud and ocean",https://nuforc.org/sighting/?id=177638
2023-05-09 21:38:00,Tecate,Baja California,Mexico,Light,Dancing Lights,https://nuforc.org/sighting/?id=175723
2023-03-04 21:44:00,Cancun,Quintana Roo,Mexico,Star,"South south west of Orion, between Sirius and 1 hand of Orion",https://nuforc.org/sighting/?id=174875
2023-02-27 19:54:00,Cozumel,Quintana Roo,Mexico,Sphere,"Light approached Cozumel at ~ 15,000ft. No sound. Stopped and hovered above for ~ 5 seconds and then shot off and vanished within secon",https://nuforc.org/sighting/?id=174741
2023-02-20 19:20:00,Oaxaca,Oaxaca,Mexico,Disk,Photo captured unseen potential UAP.,https://nuforc.org/sighting/?id=174725
2023-02-07 22:00:00,Cancun,Quintana Roo,Mexico,Other,Round metallic ball UFO,https://nuforc.org/sighting/?id=174527
2023-02-02 18:36:00,Merida,Yucatán,Mexico,Sphere,"Luminous sphere with photon cloud in front, emitting light from the center out of its wings as if it were a holographic light and flash",https://nuforc.org/sighting/?id=174740
2022-11-14 00:48:00,Puerto Vallarta,Jalisco,Mexico,Light,Slow moving comet like,https://nuforc.org/sighting/?id=172985
2022-11-04 09:15:00,Tenancingo,México,Mexico,Cylinder,I found it later on my phone,https://nuforc.org/sighting/?id=173240
