Occurred,City,State_x,Country,Shape,Summary,Link,Lat,Lng
2024-05-15 02:20:00,Mazatlan,Sinaloa,Mexico,Light,Lights dropping from very high altitude and then heading south. Different locations and at differing interludes.,https://nuforc.org/sighting/?id=181515,23.2167,-106.4167
2021-01-24 09:00:00,Mazatlan,Sinaloa,Mexico,Sphere,I noticed a perfectly round ball traveling southbound on 1/24/21 at appt 9:00 a.m. in Mazatlan Mexico.  I thought it was a balloon at f,https://nuforc.org/sighting/?id=161740,23.2167,-106.4167
2019-01-08 21:30:00,Mazatlan,Sinaloa,Mexico,Circle,We were sitting at the beach and looked up to see a ufo flying over us. It was circular and had two smaller circular ones that kept cha,https://nuforc.org/sighting/?id=145434,23.2167,-106.4167
2001-12-01 21:10:00,Mazatlan,Sinaloa,Mexico,Light,about 300 saw a bright comet-like object flying too fast and too low from SW to NE at 21:10 on 12/2/01 at about 23°N106W,https://nuforc.org/sighting/?id=50175,23.2167,-106.4167
2000-05-07 20:00:00,Mazatlan,Sinaloa,Mexico,Unknown,I have 20 minutes of film but no one seams intrested to even look at it It looks like an object moving away from you as bright as any s,https://nuforc.org/sighting/?id=12584,23.2167,-106.4167
2024-05-12 20:58:00,Leon de los Aldama,Guanajuato,Mexico,Cylinder,"We observed a very large (500-1500 ft long), dark, unlit, flying object flying below 10,000 ft down the Chico valley.",https://nuforc.org/sighting/?id=181495,21.1167,-101.6833
2016-02-11 22:00:00,Leon de los Aldama,Guanajuato,Mexico,Light,Two bright orange light that appeared in the sky over the Pacific Ocean . Disappears for 1min and reappear in a parallel allagment and,https://nuforc.org/sighting/?id=125799,21.1167,-101.6833
2015-01-17 22:00:00,Leon de los Aldama,Guanajuato,Mexico,Cigar,My daughters and i were coming home about 10pm.  We started opening our gate when we looked up in the sky and saw a orange light.,https://nuforc.org/sighting/?id=116769,21.1167,-101.6833
2006-06-26 21:30:00,Leon de los Aldama,Guanajuato,Mexico,Light,bright light omitting a fog light appearance toward earth,https://nuforc.org/sighting/?id=50708,21.1167,-101.6833
2005-03-15 23:45:00,Leon de los Aldama,Guanajuato,Mexico,Disk,"A large radiating craft seen above Playa Paraiso beach, 3 hours from Acapulco.",https://nuforc.org/sighting/?id=41999,21.1167,-101.6833
